TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
TX000001,AC00128,2064.06,11-04-2023 16:29,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,04-11-2024 08:08
TX000002,AC00455,376.24,27-06-2023 16:44,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,04-11-2024 08:09
TX000003,AC00019,126.29,10-07-2023 18:16,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,04-11-2024 08:07
TX000004,AC00070,184.5,05-05-2023 16:32,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,04-11-2024 08:09
TX000005,AC00411,13.45,16-10-2023 17:51,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,04-11-2024 08:06
TX000006,AC00393,92.15,03-04-2023 17:15,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,04-11-2024 08:06
TX000007,AC00199,7.08,15-02-2023 16:36,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,04-11-2024 08:10
TX000008,AC00069,171.42,08-05-2023 17:47,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,04-11-2024 08:10
TX000009,AC00135,106.23,21-03-2023 16:59,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,04-11-2024 08:11
TX000010,AC00385,815.96,31-03-2023 16:06,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,04-11-2024 08:06
TX000011,AC00150,17.78,14-03-2023 16:46,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,04-11-2024 08:06
TX000012,AC00459,190.02,06-02-2023 17:30,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,04-11-2024 08:07
TX000013,AC00392,494.52,07-06-2023 17:21,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,04-11-2024 08:08
TX000014,AC00264,781.76,20-11-2023 16:39,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69,04-11-2024 08:07
TX000015,AC00085,166.99,13-02-2023 16:53,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,04-11-2024 08:10
TX000016,AC00270,465.45,12-12-2023 16:23,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,04-11-2024 08:12
TX000017,AC00317,555.8,30-10-2023 16:52,Credit,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26,04-11-2024 08:07
TX000018,AC00359,492.93,14-12-2023 18:32,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,04-11-2024 08:11
TX000019,AC00242,18.68,21-02-2023 16:56,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37,04-11-2024 08:12
TX000020,AC00285,71.48,08-06-2023 18:18,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,04-11-2024 08:09
TX000021,AC00002,59.32,28-02-2023 16:36,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,04-11-2024 08:09
TX000022,AC00014,85.77,11-08-2023 18:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,04-11-2024 08:08
TX000023,AC00095,52.2,06-06-2023 18:54,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,04-11-2024 08:07
TX000024,AC00453,345.84,02-05-2023 18:25,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5,04-11-2024 08:07
TX000025,AC00241,145.54,02-03-2023 16:43,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96,04-11-2024 08:07
TX000026,AC00041,7.49,20-10-2023 17:53,Credit,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67,04-11-2024 08:09
TX000027,AC00441,246.93,17-04-2023 16:37,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35,04-11-2024 08:11
TX000028,AC00057,40.32,29-03-2023 16:42,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52,04-11-2024 08:11
TX000029,AC00390,127.45,24-01-2023 16:18,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,04-11-2024 08:11
TX000030,AC00313,56.17,20-09-2023 16:55,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69,04-11-2024 08:08
TX000031,AC00367,28.31,17-07-2023 17:49,Credit,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47,04-11-2024 08:09
TX000032,AC00291,59.12,06-02-2023 16:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64,04-11-2024 08:06
TX000033,AC00060,396.45,25-09-2023 16:26,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,9690.15,04-11-2024 08:11
TX000034,AC00359,877.81,13-03-2023 17:23,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,399,04-11-2024 08:07
TX000035,AC00365,255.26,27-10-2023 16:42,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87,04-11-2024 08:10
TX000036,AC00267,124.76,16-10-2023 16:32,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72,04-11-2024 08:06
TX000037,AC00404,78.13,21-11-2023 16:58,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,900.61,04-11-2024 08:12
TX000038,AC00202,649.28,02-03-2023 17:53,Debit,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,4875.86,04-11-2024 08:11
TX000039,AC00478,795.31,12-10-2023 17:07,Debit,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,7914.88,04-11-2024 08:11
TX000040,AC00405,335.63,24-01-2023 17:17,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,55,Retired,216,1,1019.39,04-11-2024 08:07
TX000041,AC00421,328.47,31-07-2023 18:39,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,63,Retired,119,1,4323.66,04-11-2024 08:07
TX000042,AC00480,34.02,09-01-2023 16:13,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48,04-11-2024 08:11
TX000043,AC00120,241.42,20-04-2023 18:57,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,13357.02,04-11-2024 08:09
TX000044,AC00117,55.32,12-04-2023 16:03,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79,04-11-2024 08:08
TX000045,AC00011,304.31,26-07-2023 16:52,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,04-11-2024 08:09
TX000046,AC00401,435.27,04-10-2023 17:49,Debit,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,4673.28,04-11-2024 08:11
TX000047,AC00282,164.49,13-12-2023 16:01,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1,1509.27,04-11-2024 08:10
TX000048,AC00439,510.24,09-10-2023 16:29,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,781.7,04-11-2024 08:11
TX000049,AC00296,626.9,27-11-2023 16:45,Debit,Denver,D000284,93.146.251.20,M023,Online,26,Student,138,1,265.51,04-11-2024 08:07
TX000050,AC00471,22.01,27-03-2023 16:45,Credit,Sacramento,D000304,124.6.134.78,M055,Online,41,Engineer,175,1,1335.09,04-11-2024 08:06
TX000051,AC00159,425.34,13-02-2023 16:59,Credit,Kansas City,D000661,139.23.212.102,M040,Online,69,Retired,121,1,3907.54,04-11-2024 08:07
TX000052,AC00482,424.56,21-02-2023 17:45,Debit,Omaha,D000598,179.43.245.131,M015,Online,51,Engineer,264,1,5183.85,04-11-2024 08:09
TX000053,AC00115,85.43,07-06-2023 16:45,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,67,Doctor,145,1,14904.9,04-11-2024 08:06
TX000054,AC00055,169.5,07-09-2023 16:51,Debit,San Diego,D000442,42.219.228.159,M036,Branch,28,Student,142,1,918.88,04-11-2024 08:08
TX000055,AC00419,104.63,29-03-2023 17:47,Debit,Omaha,D000642,186.135.2.148,M095,ATM,62,Retired,90,1,4477.78,04-11-2024 08:10
TX000056,AC00374,316.95,04-08-2023 17:53,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25,Student,83,1,1324.03,04-11-2024 08:09
TX000057,AC00271,60.54,14-12-2023 17:52,Credit,Columbus,D000462,1.198.76.182,M095,Branch,57,Retired,52,1,3534.93,04-11-2024 08:09
TX000058,AC00456,292.56,03-03-2023 17:37,Credit,Dallas,D000311,198.73.211.114,M075,Branch,68,Retired,61,1,4638.37,04-11-2024 08:07
TX000059,AC00143,386.52,09-06-2023 16:18,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,5630.61,04-11-2024 08:07
TX000060,AC00427,112.07,02-10-2023 16:35,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,23,Student,51,1,930.3,04-11-2024 08:11
TX000061,AC00438,568.52,06-10-2023 18:44,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,46,Engineer,152,1,5499.91,04-11-2024 08:06
TX000062,AC00002,263.99,16-05-2023 16:07,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,04-11-2024 08:11
TX000063,AC00425,349.64,07-11-2023 16:48,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48,Engineer,226,1,6651.62,04-11-2024 08:08
TX000064,AC00325,601.4,30-05-2023 17:43,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,56,Engineer,104,1,8458.29,04-11-2024 08:08
TX000065,AC00434,5.77,02-11-2023 16:01,Debit,Charlotte,D000461,155.164.18.235,M071,Online,50,Doctor,124,1,13988.12,04-11-2024 08:11
TX000066,AC00242,201.33,29-03-2023 17:00,Credit,Nashville,D000098,145.246.171.225,M003,Branch,42,Engineer,186,1,2585.07,04-11-2024 08:11
TX000067,AC00319,298.42,25-04-2023 16:11,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,56,Retired,225,1,3014.75,04-11-2024 08:10
TX000068,AC00460,521.06,18-04-2023 18:40,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,25,Student,128,1,1951.42,04-11-2024 08:12
TX000069,AC00461,117.28,09-02-2023 16:34,Credit,Austin,D000128,46.150.175.171,M057,Online,60,Engineer,16,1,3665.77,04-11-2024 08:07
TX000070,AC00395,189.12,13-11-2023 16:42,Credit,Indianapolis,D000684,125.89.163.224,M040,Branch,32,Engineer,103,1,977.01,04-11-2024 08:08
TX000071,AC00217,133.55,18-07-2023 16:12,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,44,Engineer,220,1,3846.28,04-11-2024 08:10
TX000072,AC00053,143.21,13-01-2023 17:00,Debit,Dallas,D000410,65.164.3.100,M066,Online,35,Engineer,135,1,6374.82,04-11-2024 08:09
TX000073,AC00282,24.77,04-07-2023 18:20,Debit,Boston,D000180,9.230.41.239,M070,ATM,62,Retired,55,1,5866.01,04-11-2024 08:12
TX000074,AC00110,233.92,20-10-2023 16:54,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,26,Student,280,1,6537.62,04-11-2024 08:08
TX000075,AC00265,1212.51,04-10-2023 16:36,Debit,Indianapolis,D000231,193.83.0.183,M036,Branch,20,Student,24,1,605.95,04-11-2024 08:06
TX000076,AC00239,232.12,28-12-2023 17:31,Debit,Omaha,D000073,156.173.170.140,M066,ATM,37,Engineer,51,1,6689.87,04-11-2024 08:09
TX000077,AC00007,162.63,12-06-2023 17:53,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,04-11-2024 08:08
TX000078,AC00022,91.53,13-03-2023 16:32,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,44,Doctor,69,1,14676.05,04-11-2024 08:11
TX000079,AC00464,120.29,18-12-2023 18:46,Debit,Miami,D000561,162.198.218.92,M045,Branch,19,Student,77,1,1362.39,04-11-2024 08:06
TX000080,AC00014,174.25,17-07-2023 18:54,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,10528.34,04-11-2024 08:10
TX000081,AC00406,183.71,19-06-2023 18:22,Debit,Denver,D000488,86.103.2.29,M074,ATM,38,Engineer,102,1,552.52,04-11-2024 08:09
TX000082,AC00445,345.39,23-10-2023 17:13,Credit,Phoenix,D000097,131.41.45.13,M081,Online,58,Engineer,80,1,6451.96,04-11-2024 08:08
TX000083,AC00236,922.55,23-01-2023 16:32,Debit,Detroit,D000206,21.97.154.92,M004,ATM,63,Retired,87,1,4715.84,04-11-2024 08:11
TX000084,AC00220,259.91,06-11-2023 16:34,Debit,Denver,D000616,36.13.239.172,M028,Online,49,Doctor,170,1,7176.86,04-11-2024 08:09
TX000085,AC00140,154.71,03-07-2023 16:40,Debit,San Diego,D000494,167.104.180.235,M030,Online,34,Doctor,157,1,1523.72,04-11-2024 08:09
TX000086,AC00098,1340.19,29-09-2023 17:22,Credit,Austin,D000574,165.114.224.47,M012,Online,54,Engineer,30,1,8654.28,04-11-2024 08:06
TX000087,AC00303,24.56,20-10-2023 17:27,Debit,Mesa,D000428,16.131.3.140,M033,Branch,64,Doctor,69,1,9869.93,04-11-2024 08:12
TX000088,AC00373,568.07,28-08-2023 17:03,Debit,Washington,D000018,8.243.4.138,M054,ATM,48,Doctor,115,1,10556.81,04-11-2024 08:07
TX000089,AC00438,9.61,22-06-2023 18:37,Credit,San Diego,D000453,132.127.5.187,M043,Online,58,Doctor,179,1,12883.91,04-11-2024 08:09
TX000090,AC00437,392.96,20-11-2023 16:28,Debit,Kansas City,D000141,186.54.68.246,M022,Online,24,Student,100,1,791.65,04-11-2024 08:08
TX000091,AC00106,716.93,14-09-2023 16:49,Credit,Milwaukee,D000322,101.223.82.253,M052,Online,60,Retired,34,1,4064.02,04-11-2024 08:08
TX000092,AC00310,223.85,02-10-2023 16:36,Debit,Kansas City,D000481,133.223.159.151,M009,ATM,53,Engineer,55,4,2929.91,04-11-2024 08:08
TX000093,AC00149,230.66,27-03-2023 18:16,Debit,Houston,D000526,60.43.160.195,M049,Branch,21,Student,135,1,618.05,04-11-2024 08:10
TX000094,AC00373,442.12,21-12-2023 16:37,Debit,Los Angeles,D000645,168.36.49.167,M047,Online,19,Student,260,1,1375.8,04-11-2024 08:08
TX000095,AC00425,644.17,02-03-2023 16:05,Debit,San Antonio,D000178,165.38.56.205,M093,ATM,29,Engineer,72,1,1143.52,04-11-2024 08:08
TX000096,AC00010,508.68,26-06-2023 16:16,Credit,Mesa,D000622,193.108.17.115,M048,Branch,51,Engineer,127,1,7708.41,04-11-2024 08:09
TX000097,AC00348,858.63,18-04-2023 17:27,Credit,San Francisco,D000019,175.230.206.232,M002,Branch,27,Student,185,1,1872.96,04-11-2024 08:10
TX000098,AC00011,25.36,17-07-2023 17:08,Debit,Louisville,D000192,62.152.134.92,M007,ATM,57,Engineer,78,1,201.04,04-11-2024 08:11
TX000099,AC00453,147.62,01-09-2023 17:26,Debit,Charlotte,D000093,149.84.108.18,M028,Branch,71,Retired,133,1,2115.8,04-11-2024 08:07
TX000100,AC00178,115.02,11-09-2023 16:19,Debit,San Antonio,D000528,134.222.122.238,M004,Branch,37,Doctor,175,1,7643.66,04-11-2024 08:08
TX000101,AC00265,383.37,24-01-2023 17:23,Debit,Fort Worth,D000321,18.72.115.111,M066,Branch,30,Engineer,24,1,8901.93,04-11-2024 08:11
TX000102,AC00018,98.54,11-08-2023 16:18,Credit,El Paso,D000528,34.125.226.63,M095,Online,20,Student,167,1,9383.43,04-11-2024 08:10
TX000103,AC00075,83.24,16-10-2023 18:35,Credit,Fort Worth,D000607,21.28.32.1,M009,Branch,55,Doctor,164,1,1181.31,04-11-2024 08:10
TX000104,AC00464,196.16,24-02-2023 16:29,Debit,Virginia Beach,D000164,204.34.243.93,M099,Branch,27,Engineer,146,1,9418.86,04-11-2024 08:08
TX000105,AC00170,129.94,02-01-2023 16:36,Debit,Las Vegas,D000647,111.226.226.202,M045,ATM,32,Engineer,235,1,7954.92,04-11-2024 08:06
TX000106,AC00235,306.9,30-11-2023 16:31,Debit,Colorado Springs,D000078,96.115.67.230,M047,Online,46,Engineer,51,1,9418.08,04-11-2024 08:10
TX000107,AC00013,114.98,01-11-2023 16:52,Debit,Seattle,D000182,115.218.48.83,M032,Online,59,Retired,80,1,6144.68,04-11-2024 08:09
TX000108,AC00397,756.59,06-03-2023 16:47,Debit,Sacramento,D000028,174.61.77.54,M012,Branch,27,Student,17,1,420.65,04-11-2024 08:11
TX000109,AC00423,503.76,27-11-2023 18:32,Debit,Los Angeles,D000518,216.151.64.40,M083,Online,22,Student,35,1,447.82,04-11-2024 08:09
TX000110,AC00154,143.03,31-07-2023 16:37,Debit,San Antonio,D000469,197.162.55.147,M055,ATM,63,Retired,147,1,7981.45,04-11-2024 08:10
TX000111,AC00068,1045.22,22-11-2023 16:13,Debit,Columbus,D000400,77.7.223.184,M077,ATM,53,Retired,73,1,1829.9,04-11-2024 08:07
TX000112,AC00318,245.54,21-03-2023 16:29,Debit,New York,D000536,44.197.126.59,M089,ATM,25,Student,180,1,985.06,04-11-2024 08:10
TX000113,AC00396,254.37,20-04-2023 18:26,Credit,Dallas,D000477,143.212.47.226,M012,Online,51,Engineer,174,1,8849.26,04-11-2024 08:06
TX000114,AC00121,213.76,01-03-2023 17:52,Credit,Dallas,D000574,51.250.122.123,M009,ATM,78,Retired,282,1,3528.72,04-11-2024 08:09
TX000115,AC00336,327.86,10-02-2023 16:52,Debit,Fresno,D000655,188.124.181.12,M051,Online,40,Engineer,104,1,480.16,04-11-2024 08:06
TX000116,AC00468,2.5,21-07-2023 16:43,Debit,San Diego,D000673,44.73.3.217,M042,Online,47,Doctor,107,1,12145.27,04-11-2024 08:09
TX000117,AC00282,300.08,09-10-2023 17:02,Credit,Austin,D000266,85.240.254.83,M040,Online,68,Doctor,47,1,13546.75,04-11-2024 08:12
TX000118,AC00498,56.98,01-01-2024 16:34,Credit,Oklahoma City,D000256,101.90.40.193,M086,ATM,43,Engineer,122,2,5688.37,04-11-2024 08:07
TX000119,AC00085,407.65,07-07-2023 16:11,Debit,Boston,D000544,98.255.160.110,M041,Online,26,Engineer,62,1,8346.64,04-11-2024 08:06
TX000120,AC00092,115.83,22-05-2023 17:09,Debit,Fresno,D000663,124.6.134.78,M086,Branch,39,Engineer,167,1,6481.04,04-11-2024 08:10
TX000121,AC00295,53.57,16-08-2023 16:17,Debit,Houston,D000489,45.64.74.86,M025,ATM,69,Retired,121,1,1651.33,04-11-2024 08:08
TX000122,AC00358,63.34,17-11-2023 16:02,Credit,Detroit,D000434,69.82.61.135,M028,Online,46,Doctor,165,1,11174.94,04-11-2024 08:10
TX000123,AC00311,317.87,22-05-2023 17:29,Debit,Detroit,D000314,79.227.202.117,M076,Online,27,Student,91,1,145.5,04-11-2024 08:11
TX000124,AC00066,331.65,25-08-2023 17:26,Debit,Portland,D000037,26.240.219.199,M006,Online,41,Engineer,61,1,4172.57,04-11-2024 08:11
TX000125,AC00340,5.04,27-11-2023 16:38,Debit,Washington,D000021,63.67.150.226,M001,ATM,56,Retired,41,1,5558.36,04-11-2024 08:10
TX000126,AC00284,214.54,04-08-2023 17:46,Credit,Detroit,D000112,195.226.203.234,M026,Online,70,Doctor,247,1,11151.53,04-11-2024 08:11
TX000127,AC00208,598.81,04-09-2023 16:48,Debit,Philadelphia,D000042,92.214.76.157,M081,Branch,57,Doctor,158,1,1415.52,04-11-2024 08:10
TX000128,AC00176,841.28,09-08-2023 17:34,Debit,Tucson,D000276,101.223.82.253,M083,Online,26,Student,80,1,1103.64,04-11-2024 08:09
TX000129,AC00053,38.15,07-09-2023 16:07,Debit,Mesa,D000687,77.21.150.75,M005,Online,26,Student,108,1,303.68,04-11-2024 08:07
TX000130,AC00320,1036.66,11-07-2023 16:39,Debit,San Antonio,D000015,53.218.177.171,M062,Branch,58,Doctor,144,1,5541.57,04-11-2024 08:09
TX000131,AC00382,124.72,03-07-2023 17:14,Debit,Oklahoma City,D000118,147.234.20.46,M004,Branch,33,Engineer,105,1,6309.8,04-11-2024 08:07
TX000132,AC00384,302.45,25-09-2023 17:13,Credit,San Antonio,D000052,203.99.96.114,M059,Branch,78,Retired,40,1,5133.61,04-11-2024 08:11
TX000133,AC00203,208.04,20-11-2023 17:10,Debit,Louisville,D000339,65.27.212.129,M055,Online,47,Engineer,273,1,9344.98,04-11-2024 08:08
TX000134,AC00498,5.77,17-11-2023 17:27,Credit,Los Angeles,D000236,85.240.254.83,M098,Branch,23,Student,254,1,1117.97,04-11-2024 08:10
TX000135,AC00349,381.33,21-08-2023 16:46,Debit,Albuquerque,D000635,62.251.170.72,M034,ATM,56,Doctor,75,1,11835.35,04-11-2024 08:09
TX000136,AC00177,16.16,16-10-2023 16:59,Debit,Milwaukee,D000465,161.177.41.214,M065,ATM,50,Doctor,124,1,14401.17,04-11-2024 08:11
TX000137,AC00284,486.08,20-06-2023 17:21,Debit,Oklahoma City,D000170,138.87.180.254,M060,Online,18,Student,68,1,1748.69,04-11-2024 08:07
TX000138,AC00272,336.39,16-01-2023 16:53,Debit,San Antonio,D000426,203.99.96.114,M003,Branch,21,Student,18,1,1000.46,04-11-2024 08:09
TX000139,AC00405,997.43,22-11-2023 16:07,Debit,Seattle,D000661,100.4.40.132,M067,Online,69,Doctor,118,1,6810.05,04-11-2024 08:08
TX000140,AC00385,234.57,01-09-2023 16:09,Debit,Chicago,D000553,45.182.28.148,M045,Online,23,Student,120,1,263.98,04-11-2024 08:08
TX000141,AC00403,6,23-10-2023 18:38,Debit,Chicago,D000556,18.72.115.111,M090,Online,30,Doctor,246,1,5442.76,04-11-2024 08:09
TX000142,AC00114,1049.92,23-10-2023 16:50,Debit,Detroit,D000522,121.67.144.20,M052,ATM,80,Retired,21,1,2037.85,04-11-2024 08:10
TX000143,AC00163,227.14,03-07-2023 17:42,Debit,Charlotte,D000439,197.162.55.147,M057,ATM,18,Student,294,1,341.94,04-11-2024 08:11
TX000144,AC00108,233.74,24-10-2023 16:41,Credit,Oklahoma City,D000600,96.115.67.230,M030,Online,66,Retired,17,1,1066.59,04-11-2024 08:11
TX000145,AC00397,113.02,25-09-2023 16:54,Credit,Jacksonville,D000369,33.212.169.157,M019,Branch,69,Retired,166,1,6077.96,04-11-2024 08:07
TX000146,AC00434,45.85,16-02-2023 17:57,Debit,Los Angeles,D000241,163.129.70.210,M085,ATM,20,Student,92,1,1659.15,04-11-2024 08:07
TX000147,AC00385,973.39,30-08-2023 17:23,Debit,Sacramento,D000292,202.194.199.70,M026,Branch,77,Retired,296,1,2042.22,04-11-2024 08:11
TX000148,AC00161,514.95,13-04-2023 18:37,Debit,New York,D000109,23.92.205.75,M056,Online,41,Doctor,142,5,421.93,04-11-2024 08:10
TX000149,AC00333,415.5,28-07-2023 16:29,Debit,Memphis,D000330,140.212.253.222,M077,ATM,66,Doctor,141,1,10113.66,04-11-2024 08:10
TX000150,AC00279,265.76,06-02-2023 17:48,Debit,Philadelphia,D000158,3.157.63.220,M049,Online,54,Retired,92,1,4446.17,04-11-2024 08:12
TX000151,AC00072,69.4,24-07-2023 18:08,Debit,Virginia Beach,D000413,216.151.64.40,M073,Online,80,Retired,113,1,6452.77,04-11-2024 08:09
TX000152,AC00242,332.93,20-11-2023 16:29,Credit,Albuquerque,D000548,113.115.81.178,M039,Branch,35,Engineer,293,1,2788.2,04-11-2024 08:08
TX000153,AC00303,267.9,09-10-2023 16:52,Debit,San Antonio,D000605,216.32.4.105,M078,Online,20,Student,160,1,596.16,04-11-2024 08:08
TX000154,AC00442,496.03,03-11-2023 16:45,Debit,San Francisco,D000070,210.160.90.52,M009,Branch,61,Doctor,265,1,12904.66,04-11-2024 08:09
TX000155,AC00087,376.26,15-02-2023 16:41,Debit,Tucson,D000481,82.88.241.226,M081,ATM,37,Engineer,245,1,9062.4,04-11-2024 08:09
TX000156,AC00174,83.02,04-09-2023 17:59,Credit,Seattle,D000226,34.92.221.183,M058,Online,36,Engineer,171,1,9009.56,04-11-2024 08:11
TX000157,AC00421,93.26,27-07-2023 16:22,Credit,New York,D000436,182.225.2.156,M092,Online,20,Student,72,1,1152.2,04-11-2024 08:12
TX000158,AC00111,803.37,17-04-2023 16:08,Credit,Memphis,D000108,191.91.45.159,M030,Branch,68,Doctor,129,1,12168.37,04-11-2024 08:08
TX000159,AC00275,35.76,19-09-2023 17:38,Debit,Charlotte,D000678,111.78.64.133,M057,Branch,23,Student,122,1,611.86,04-11-2024 08:11
TX000160,AC00492,28.53,31-05-2023 16:37,Debit,Washington,D000310,215.97.143.157,M035,Online,62,Doctor,99,1,8670.53,04-11-2024 08:06
TX000161,AC00380,139.53,09-10-2023 17:20,Credit,Louisville,D000491,167.104.180.235,M002,Online,53,Doctor,177,1,10098.86,04-11-2024 08:07
TX000162,AC00227,307.57,09-01-2023 16:12,Debit,Detroit,D000076,128.16.32.183,M049,Branch,33,Doctor,285,1,5307.74,04-11-2024 08:06
TX000163,AC00257,60.65,26-05-2023 18:15,Credit,Tucson,D000456,10.144.131.89,M085,Branch,56,Retired,53,1,1047.28,04-11-2024 08:09
TX000164,AC00062,74.86,14-08-2023 17:43,Debit,Nashville,D000115,161.168.126.136,M028,Branch,70,Doctor,125,1,6921.48,04-11-2024 08:07
TX000165,AC00383,117.97,24-11-2023 18:51,Debit,Kansas City,D000281,198.39.35.23,M100,Branch,51,Retired,137,1,1475.46,04-11-2024 08:09
